Medicines,Drugs
Propranolol Tab ,Propranolol HCl 
Propranolol ,Propranolol HCl 
Praba ,Glimepiride 
Piofit ,Pioglitazone 
Piotone ,Pioglitazone 
Piozon ,Pioglitazone 
Piozone ,Pioglitazone 
Piobetic G ,Pioglitazone 
Pioton Gem ,Pioglitazone 
Prenor ,Buprenorphine 
Pentafen ,Pentazocine 
Pentagesic ,Pentazocine 
Pentagon ,Pentazocine 
Pentanor ,Pentazocine 
Penzocine ,Pentazocine 
Pocin ,Pentazocine 
Pomperc ,Tramadol 
Propofol inf ,Propofol 
Propofol Lipuro ,Propofol 
Parketin ,Gabapentin 
Penral ,Gabapentin 
Pingab ,Pregabalin. 
Prostin F-,Dinoprost 
Propess ,Dinoprostone 
Prostin E-,Dinoprostone 
Pancron ,Pancuronium Bromide 
Parium ,Pancuronium Bromide 
Pressurex ,Telmisartan 
Pamidria ,Pamidronate Disodium 
Pamisole ,Pamidronate Disodium 
Pyridine ,Phenazopyridine 
Prizocin ,Azithromycin 
Pharmaplatin ,Carboplatin 
Pelton ,Domperidone 
Pentex ,Domperidone 
Pericid ,Domperidone 
Perid ,Domperidone 
Perill ,Domperidone 
Prokin ,Domperidone 
Puridon ,Domperidone 
Pelton V ,Domperidone Maleate 
Peptimax-V ,Domperidone Maleate 
Perid-M ,Domperidone Maleate 
Pdpoetin ,Epoetin Alfa 
Phartex Ds ,Trimethoprim 
Pficid ,Clarithromycin 
Pakzole ,Trimethoprim 
Pakzole Ds ,Trimethoprim 
Phartex ,Trimethoprim 
Pirak ,Clarithromycin 
Phenir ,Chlorpheniramine 
Phenerzine ,Promethazine HCL 
Prozoquin ,Amodiaquine 
Paraquin ,Dihydroartemisinin 
Peprohyd ,Dihydroartemisinin 
Peproxin ,Dihydroartemisinin 
Polytar ,Oleyl Alcohol 
Pine ,Heparin 
Paracin Plus ,Hyoscine 
PDFeron-B ,Interferon Alfa-2b. 
Prolfer ,Interferon Alfa-2b. 
Pep-Eez ,Esomeprazole 
Pepkap ,Esomeprazole 
Pepnor ,Esomeprazole 
Pepso ,Esomeprazole 
Petra ,Esomeprazole 
Prabest ,Esomeprazole 
ProCapsule ,Esomeprazole 
Protohib ,Esomeprazole 
Protx ,Esomeprazole 
Purpal ,Esomeprazole 
Pdgrastim ,Filgrastim 
Pulcon ,Fluconazole 
Pro-F ,Flurbiprofen 
Proben ,Flurbiprofen 
Pazmol ,Lansoprazole 
Pixasol ,Lansoprazole 
Prevacid ,Lansoprazole 
Pumin ,Lansoprazole 
Pelikan ,Levofloxacin 
Penetrex ,Levofloxacin 
Pulmoflox ,Levofloxacin 
Panamox ,Mebendazole 
Parlodel ,Bromocriptine 
Purinetone ,Mercaptopurine 
Paclixil ,Paclitaxel 
Pyragen ,Pyrazinamide 
Pyrazid ,Pyrazinamide 
Prepace ,Ramipril 
Pulgite ,Attapulgite 
Peditral  powder,"sodium chloride, sodium citrate, potassium chlorid"
Paracetamol ,Aspirin 
Painton ,Mefenamic Acid 
Painton Forte ,Mefenamic Acid 
Panamic ,Mefenamic Acid 
Panamic Forte ,Mefenamic Acid 
Pharmic ,Mefenamic Acid 
Phontan ,Mefenamic Acid 
Pongesic ,Mefenamic Acid 
Preston ,Mefenamic Acid 
Preston Forte ,Mefenamic Acid 
Protan ,Mefenamic Acid 
Pamol X ,Paracetamol 
Paragray Extra ,Paracetamol 
Paraheim+ ,Paracetamol 
Pedrol Extra ,Paracetamol 
Pyrol Extra ,Paracetamol 
Pregesic ,Paracetamol 
Paigone ,Paracetamol 
Paracetamol ,Paracetamol 
Paracetol ,Paracetamol 
Paraheim ,Paracetamol 
Parapol ,Paracetamol 
Parol ,Paracetamol 
Pedrol ,Paracetamol 
Pracan ,Paracetamol 
Pracmol ,Paracetamol 
Pyrol ,Paracetamol 
Pharclore ,Cefaclor 
Plorsaf ,Cefaclor 
Pdrox ,Cefadroxil 
Pefipime ,Cefepime 
Pefmad ,Cefepime 
Pharpime ,Cefepime 
Pimalba ,Cefepime 
Pime ,Cefepime 
Pimemeg ,Cefepime 
Pimesave ,Cefepime 
Pimezeb ,Cefepime 
Pharxime ,Cefixime 
Pomex ,Cefixime 
Pebac ,Cefoperazone 
Perazone ,Cefoperazone 
Prontokef ,Cefoperazone 
Paratam ,Cefoperazone 
Paroat Plus,Cefoperazone 
Peracef-S ,Cefoperazone 
Pharsul ,Cefoperazone 
Psulb ,Cefoperazone
PCEF ,Cefotaxime 
Polytax ,Cefotaxime 
Pure-Xim ,Cefotaxime 
Pir ,Cefpirome 
Piromecef ,Cefpirome 
Pironome ,Cefpirome 
Podox ,Cefpodoxime 
Posoxime ,Cefpodoxime 
Pentum ,Ceftazidime 
P-Zone ,Ceftriaxone 
Pc-Trax ,Ceftriaxone 
Phaxo ,Ceftriaxone 
Prezone ,Ceftriaxone 
Primesef ,Ceftriaxone 
Prontox ,Ceftriaxone 
Ptrox ,Ceftriaxone 
Protex ,Cefuroxime 
Phaxin ,Cephalexin 
Plivacef ,Cephalexin 
Pepkol ,Cephazolin 
Poly Tears  drops,Polyethylene Glycol and Propylene Glycol
Prodex ,Dexibuprofen 
Pointer ,Diclofenac potassium 
Potran ,Diclofenac potassium 
Painrest ,Diclofenac Sodium 
Phlodic ,Diclofenac Sodium 
Pofac ,Diclofenac Sodium 
Puldol ,Diclofenac Sodium 
Pansaid ,Flurbiprofen 
Pansol ,Flurbiprofen 
Pabrofen ,Ibuprofen 
Pango ,Ibuprofen 
Pharfen ,Ibuprofen 
Promin ,Ibuprofen 
Propen ,Ibuprofen 
Prosta ,Ibuprofen 
Prufo ,Ibuprofen 
Pyrofen ,Ibuprofen 
Prefen ,Ketoprofen 
Proketo ,Ketoprofen 
Protifen EC ,Ketoprofen 
Panarodin ,Naproxen 
Promig ,Naproxen 
Pronap ,Naproxen 
Propex ,Naproxen 
Prosyn ,Naproxen 
Provin ,Naproxen 
Parqin ,Piroxicam 
Paxam ,Piroxicam 
Paxyl ,Piroxicam 
Perdin ,Piroxicam 
Phelodene ,Piroxicam 
Piram ,Piroxicam 
Piroc ,Piroxicam 
Piromin ,Piroxicam 
Poxicam ,Piroxicam 
Pypex ,Piroxicam 
P- Cyclo ,Piroxicam-beta-cyclodextrin 
P-Safe ,Piroxicam-beta-cyclodextrin 
PBC ,Piroxicam-beta-cyclodextrin 
Pebrin ,Piroxicam-beta-cyclodextrin 
Peerox-B ,Piroxicam-beta-cyclodextrin 
Peldin ,Piroxicam-beta-cyclodextrin 
Pextrin ,Piroxicam-beta-cyclodextrin 
Phexin ,Piroxicam-beta-cyclodextrin 
Piclo ,Piroxicam-beta-cyclodextrin 
Piram BX ,Piroxicam-beta-cyclodextrin 
Piricam ,Piroxicam-beta-cyclodextrin 
Pirobet ,Piroxicam-beta-cyclodextrin 
Pirogesic ,Piroxicam-beta-cyclodextrin 
Pirojoint-B ,Piroxicam-beta-cyclodextrin 
Piromak ,Piroxicam-beta-cyclodextrin 
Piropulse ,Piroxicam-beta-cyclodextrin 
Pirosil ,Piroxicam-beta-cyclodextrin 
Piroxibin ,Piroxicam-beta-cyclodextrin 
Pyroxi ,Piroxicam-beta-cyclodextrin 
Pyzed ,Piroxicam-beta-cyclodextrin 
Pentaxim ,Diphtheria toxoid 
Pneumo ,Pneumococcal vaccine 
Priorix ,Measles virus strain 
Priorix-Tetra  injection,Measles
Puregon inj ,Follitropin Beta
Puregon ,Follitropin Beta
Psycate ,Fluphenazine
Pixel ,Omeprazole 
Presage ,"Chorionic Gonadotropic, Human "
Phyllocontin ,Aminophylline Hydrate 
Peptiban ,Famotidine 
Panobam ,Codeine 
Prozem ,Buprenorphine 
Paineze ,Codeine 
Paracod ,Codeine 
Paracodeine ,Codeine 
Pcodine ,Codeine 
Pentacin  injection,Pentazocine
Pentafen  injection,Pentazocine
Pentagesic  injection,Pentazocine
Pentagon  injection,Pentazocine
Pentazogon  injection,Pentazocine
Paracetamol compound ,Aspirin 
Ponsid ,Mefenamic Acid 
Painol ,Paracetamol 
Panafin ,Paracetamol 
Panol ,Paracetamol 
Parasup ,Paracetamol 
Paratol ,Paracetamol 
Para + Plus ,Paracetamol 
Pregesic ,Paracetamol+caffeine+thioridazine 
Prenate Tablet ,Multivitamin and mineral
Puroxan ,Doxofylline 
Parlokast ,Montelukast 
Pelbim ,Montelukast 
Provair ,Montelukast 
Pulmease ,Montelukast 
Pulmikast ,Montelukast 
Purgo ,Montelukast 
Procarol ,Procaterol 
Panataxel ,Paclitaxel 
Paromax ,Paroxetine 
Pirfenox ,Pirfenidone 
Paclitaxel AHP ,Paclitaxel 
Prograf ,Tacrolimus 
Phenobarbitone ,Phenobarbitone
PZA-Ciba ,Pyrazinamide
Peptinil Syrup  syrup,Ranitidine
Polyfax Eye Ointment  ointment,Polymyxin B
Polybion Syrup  syrup,Vitamin B complex plain and with Vitamin C
Postinor ,Levonorgestrel 
Propanol ,Propranolol HCl 
Pharmide ,Glibenclamide 
Pligliben ,Glibenclamide 
Protect ,Gliclazide 
Pharmin ,Metformin 
Poin t ,Pioglitazone 
Pio-M ,Pioglitazone 
Pioryl ,Pioglitazone 
Piotone plus ,Pioglitazone 
Piozone plus ,Pioglitazone 
Pabalgesic ,Dextropropoxyphene 
Paingon ,Pentazocine 
Pantonil ,Pentazocine 
Pancuronium ,Pancuronium Bromide 
Pavulon ,Pancuronium Bromide 
Pronat-D ,Alendronate 
Pexocitral ,Sodium Acid Citrate 
Prosalkali ,Sodium Acid Citrate 
Phenicol ,Chloramphenicol 
Pliphenicol ,Chloramphenicol 
Peristal ,Domperidone 
Predmide-P ,Prednisolone 
Primovate ,Clobetasol 
Polypred ,Prednisolone 
Polydex ,Dexamethasone 
Predni-C ,Prednisolone 
Prednicol ,Prednisolone 
Predsin ,Prednisolone 
Polypred E ,Prednisolone 
Pabtran ,Trimethoprim 
Polytran ,Trimethoprim 
Polytran Ds ,Trimethoprim 
Primox ,Trimethoprim 
Potentin ,Amoxicillin 
Prednitek ,Prednisolone 
Phemin ,Chlorpheniramine 
Phenermin ,Chlorpheniramine 
Pistin ,Ebastine 
Phenergan ,Promethazine HCL 
Pirogan ,Promethazine HCL 
Progen ,Promethazine HCL 
Promazine ,Promethazine HCL 
Prometh ,Promethazine HCL 
Plasmonil ,Sulfadoxine 
Panarin ,Aspirin 
Prosperin ,Aspirin 
"Painrest , Eye ",Diclofenac Sodium 
Polyworm ,Albendazole 
Pabzine ,Cetirizine 
Panazin ,Cetirizine 
Primagent ,Gentamicin 
Pharozide ,Isoniazid 
Polyzide ,Isoniazid 
Penisol VK ,Penicillin 
Penvee Forte ,Penicillin 
Penvee ,Penicillin 
Pipragen ,Piperazine citrate 
Prozine ,Piperazine citrate 
Pedialyte ORS,"sodium chloride, sodium citrate, potassium chlorid "
Panafin Extra ,Paracetamol 
Paratol Extra ,Paracetamol 
Pyrecaf Plus ,Paracetamol 
Pamol ,Paracetamol 
Pamol Forte ,Paracetamol 
Parabro ,Paracetamol 
Paracetamol Junior ,Paracetamol 
Paradin ,Paracetamol 
Paragray ,Paracetamol 
Paralief ,Paracetamol 
Paramac ,Paracetamol 
Paramed ,Paracetamol 
Paramol ,Paracetamol 
Parapol DS ,Paracetamol 
Parasol ,Paracetamol 
Pasic ,Paracetamol 
Pedric ,Paracetamol 
Pedrol Forte ,Paracetamol 
Pelix ,Paracetamol 
Promol ,Paracetamol 
Pyrecaf ,Paracetamol 
Phaxef ,Cefuroxime 
Pefree ,Aceclofenac 
Postaglin ,Celecoxib 
Pain less ,Diclofenac potassium 
Painnil-P ,Diclofenac potassium 
Panik ,Diclofenac potassium 
Paplofen-P ,Diclofenac potassium 
Phlodic K ,Diclofenac potassium 
Pofen ,Diclofenac potassium 
Potfenac ,Diclofenac potassium 
Painnil ,Diclofenac Sodium 
Penfen ,Diclofenac Sodium 
Prodium ,Diclofenac Sodium 
Paincare ,Ibuprofen 
Panil S,Ibuprofen 
Panil ,Ibuprofen 
Proflam ,Ibuprofen 
Prosticam ,Meloxicam 
Pain-Aid ,Nimesulide 
Pensulide ,Nimesulide 
Pancare ,Piroxicam 
Payaram ,Piroxicam 
Pelcam ,Piroxicam 
Pharox ,Piroxicam 
Piro-D ,Piroxicam 
Pirofalm ,Piroxicam 
Pirojoint ,Piroxicam 
Pirotel ,Piroxicam 
Piroxicam Cap.,Piroxicam 
Piroxil ,Piroxicam 
Piroxilite ,Piroxicam 
Piroximak ,Piroxicam 
Pirs ,Piroxicam 
Precam ,Piroxicam 
Pulsecam ,Piroxicam 
Pyrocam ,Piroxicam 
Poliomyelitis Vaccine  injection,Polio vaccine
Pabalgesic  tablet,Dextropropoxyphene
P-Zoc  injection,Pentazocine
Paingon  injection,Pentazocine
Prostavasin ,Alpostadril 
Panam ,Paracetamol 
Paraceq ,Paracetamol 
Paracetamol Elixir ,Paracetamol 
Pragray ,Paracetamol 
Pralief ,Paracetamol 
Pramed ,Paracetamol 
PM ,Paracetamol 
Prowise ,Paracetamol 
Paigone extra ,Paracetamol 
Pnafin Extra ,Paracetamol 
Pyracef Plus ,Paracetamol 
Proact ,Procaterol 
Pulmox ,Salbutamol 
Proasma  syrup,Ketotifen
Qusel ,Quetiapine 
Qufen ,Diclofenac 
Qsartan ,Losartan Potassium 
Qpro ,Lansoprazole 
Qlena ,Levofloxacin 
Quest ,Levofloxacin 
Qumic ,Levofloxacin 
Quvoxin ,Levofloxacin 
Q-Bact ,Cefoperazone 
Qink ,Cefpodoxime 
Qzon ,Ceftriaxone 
Qluz ,Piroxicam 
Qsartan Plus ,Losartan Potassium 
Quetap ,Risperidone
Qbal ,Mecobalamin 
Qmetem-P  injection,Artemether
Qmetem ,Artemether/Lumafantrine
Quench ,Silver Sulphadiazine 
Qazzo ,Rosuvastatin calcium 
Qfolic ,Quatrefolic 
Qusel XR ,Quetiapine 
Qusel-XR  ,Quetiapine 
Qosmet ,Metformin 
Quitin ,Quetiapine 
Qentel ,Albendazole 
Quibron T/SR ,Theophylline 
QUPIN ,Quetiapine
Qilium ,Domperidone 
Quinine ,Quinine 
Quinine Bisulphate ,Quinine 
Quinine Bisulphate Tab ,Quinine 
Quinine Dihydrochloride Inj ,Quinine 
Qferon ,Interferon Alfa-2b. 
Qupra ,Esomeprazole 
Q-Fur ,Flurbiprofen 
Qezan ,Levofloxacin 
Qfin ,Levofloxacin 
Qindon ,Levofloxacin 
Quezan ,Levofloxacin 
Quinocil ,Levofloxacin 
Quinolev ,Levofloxacin 
Quotalidone ,Propyphenazone 
Qin-Bact ,Cefoperazone 
Qisdim ,Ceftazidime 
Qinmax ,Hydroxychloroquine Sulphate 
Qinex ,Naproxen 
Qitar ,Piroxicam-beta-cyclodextrin 
Quimi-Hib ,Influenza Vaccine 
Quinvaxem,Diphtheria toxoid 
Qpro  capsule,Lansoprazole
Q-Well ,Quetiapine 
Qutalidon ,Porpyphenazone 
Qalsan - D -Flavors-Mixed Fruit  tablet,Calcium carbonate
Qalsan - D -Flavors-Orange  tablet,Calcium carbonate
Qalsan - D -Flavors-Mango  tablet,Calcium carbonate
Quibron-T/SR ,Flunarizine 
Queen ,Levonorgestrel 
Qamtran ,Trimethoprim 
Qevo ,Levofloxacin 
Quinoflox ,Ciprofloxacin 
Qrelif ,Diclofenac potassium 
Quikrel ,Diclofenac potassium 
Qufen ,Diclofenac Sodium 
Recol ,Simvastatin 
Recol ,Simvastatin
Rotec ,Diclofenac 
Requip ,Ropinirole
Ramipace ,Ramipril 
Rolip ,Rosuvastatin calcium 
Ronirol ,Ropinirole 
Revoc ,Risperidone 
Ruling ,Omeprazole 
Risek Insta Sugar Free ,Omeprazole 
Rifaxa ,Rifaximin
Rabixin ,Rabeprazole 
Rosubar ,Rosuvastatin calcium
Ribazole ,Ribavirin 
Respicare ,Montelukast 
Revitale-b  tablet,Vitamin B complex plain and with Vitamin C
Rino Clenil ,Beclomethasone 
Rabecid ,Rabeprazole 
Reline ,Sertraline 
Remethan ,Diclofenac Sodium 
REPAR ,Rabeprazole 
Rifaxa ,Rifaximin 
Rocephin ,Ceftriaxone 
Rondec-C ,Cough Sedative
Roxvita  tablet,Multivitamin
Rubifer ,Iron Polymaltose 
Ranola ,Ranolazine 
RayPride ,Glimepiride 
Raypride-M ,Glimepiride 
Regain xr ,Metformin 
Revalp Tablet ,Divalproex Sodium 
Revalp ,Divalproex Sodium 
Raypentin ,Gabapentin 
Regab ,Pregabalin. 
Relspasm ,Thiocolchicoside 
Ram-Off ,Azithromycin 
Rayaz ,Azithromycin 
Resque ,Azithromycin 
Romycin ,Azithromycin 
Recormon ,Epoetin Beta 
Ranker ,Clarithromycin 
Riomed ,Clarithromycin 
Rithmo ,Clarithromycin 
Rite ,Amoxicillin 
Rite Ds ,Amoxicillin 
Retoret ,Desloratadine 
Rhizin ,Cetirizine 
Rigix ,Cetirizine 
Rolac ,Itraconazole 
Rayprazole ,Esomeprazole 
Relaxul ,Esomeprazole 
Raylox ,Levofloxacin 
Ramflox ,Levofloxacin 
Ropen ,Meropenem 
Renitec ,Enalapril Maleate 
Rosulin ,Rosuvastatin calcium 
Rehydro Salt (ORS) Lemon Flavour,"sodium chloride, sodium citrate, potassium chlorid "
Reliefal ,Paracetamol 
Razodex ,Dexlansoprazole 
Rast ,Rosuvastatin calcium 
Ronil ,Ceftriaxone 
Ryxon ,Ceftriaxone 
Respro SR ,Theophylline 
Rosuvax ,Rosuvastatin calcium
Rovator ,Rosuvastatin calcium
Rast  ,Rosuvastatin calcium 
Risek IV ,Omeprazole 
Rodexib ,Dexibuprofen 
Rein ,Diacerein 
Rotec ,Diclofenac Sodium 
Rhulef ,Leflunomide 
Relevo ,Piroxicam 
Riacen ,Piroxicam 
Rosiden ,Piroxicam 
Roxicam ,Piroxicam 
Rapicort ,Prednisolone 
Renavel ,Sevelamer
Reslorton ,Pregabalin
ROVATOR ,Rosuvastatin calcium
Regasta ,Itopride 
Risp ,Risperidone 
Rejuva  tablet,Vitamins
Rize Pluse ,Escitalopram 
Ruling Plus ,Esomeprazole 
Rosubar ,Rosuvastatin calcium 
Rosuvax ,Rosuvastatin calcium 
Repar ,Rabeprazole
Relispa ,Drotaverine 
Recept ,Risperidone 
Rova ,Rosuvastatin calcium 
Rement ,Memantine 
Roviros ,Rosuvastatin calcium 
Rancard XR ,Ranolazine 
Rubifer F ,Folic acid/ Iron salt 
Rayair ,Montelukast 
Regulair ,Montelukast 
Remethan ,"Diclofenac Sodium, oral "
Reducid ,Famotidine 
Reltus DM  expectorant,Chlorpheniramine Maleate
Rovator ,Rosuvastatin calcium 
Rivaxo ,Rivaroxaban 
Recuro (,Sodium Carboxymethylcellulose 
Rivascot ,Rivaroxaban 
Rulid ,Roxithromycin 
Renvela ,Sevelamer 
Rosuva ,Rosuvastatin calcium 
Rigix Cherry Flavor ,Cetirizine 
Remac   syrup,Lutein/Zeaxanthin
Remac     tablet,Lutein/Zeaxanthin
Regab   ,Pregabalin 
Roxaban  ,Rivaroxaban 
Rosuva  ,Rosuvastatin calcium 
Reltus C&F     tablets,Chlorpheniramine
RespiCare ,Montelukast 
Respiklar ,Clarithromycin 
Rifalis ,Rifaximin 
Roxalis ,Rivaroxaban 
Rosca ,Rosuvastatin calcium 
Retrieve Cream ,"Hydroquinone, Tretinoin, and Fluocinolone Acetonid"
Rimona   sachet,Calcium supplement products
Rovista EZ ,Rosuvastatin calcium 
Rovista EZ ,Rosuvastatin + Ezetimibe 
Revipir ,Favipiravir 
Ritor ,Itopride 
Rabro ,Rabeprazole 
Rolip Eze ,Ezetimibe 
Rosera ,Rosuvastatin calcium 
Respy ,Tiotropium bromide 
Rigix ,Cetirizine Hydrochloride
Risperto ,Risperidone 
Regab ,Pregabalin 
Risek ,Omeprazole
Risek  ,Omeprazole 
Rovista ,Rosuvastatin calcium
Rovista ,Rosuvastatin calcium 
Reltus Cough Expectorant  expectorant,Paracetamol
Rhilor-D  tablet,Loratadine
Relaxit ,Tizanidine 
Rexant ,Tizanidine 
Ronex ,Cetirizine 
Ruberin ,Ibuprofen 
Rize ,Fluoxetine
Reltus C&F  syrup,Chlorpheniramine
Rama-D ,Tramadol 
Rivotril ,Clonazepam 
Risperdal ,Risperidone 
Rimactal-INH ,Isoniazid 
Rimactal ,Rifampicin 
Revomet Gel ,Metronidazole 
Rontilate ,Strontium 
Ropinol ,Ropinirole
Rhino Sone Nasal Spray  spray,Ephedrine
Rinelon Nasal Spray  spray,"Mometasone, topical"
Risperdal ,Risperidone
Renavel ,Sevelamer 
Resochin ,Chloroquine Phosphate 
Rhophylac (Anti D) ,Rho  Immune Globulin
Rock-D ,Calcium Supplement 
Retryl ,Glimepiride 
Rangon ,Pioglitazone 
Raptrol ,Repaglinide 
Rozi ,Rosiglitazone 
Rozimet ,Rosiglitazone 
Ruphen ,Dextropropoxyphene 
Rexagon ,Pentazocine 
Ramol ,Tramadol 
Restane ,Isoflurane 
Recofol ,Propofol 
Ropicain ,Ropivacaine 
Revotril ,Clonazepam 
Rospam ,Clonazepam 
Revalp Syrup ,Divalproex Sodium 
Relaxtron ,Atracurium Besylate 
Relaxamed ,Tizanidine 
Ronate ,Ibandronic Acid 
Relofin ,Raloxifene 
Revera ,Raloxifene 
Redrona ,Risedronate Sodium 
Risofos ,Risedronate Sodium 
Risonate ,Risedronate Sodium 
Rasilez ,Aliskiren 
Rasilez HCT ,Aliskiren 
Rezoxin ,Azithromycin 
Romy ,Azithromycin 
Rothin ,Azithromycin 
Rapidon ,Domperidone 
Ridon ,Domperidone 
Rakacid ,Clarithromycin 
Ritrocin ,Clarithromycin 
Rizcid ,Clarithromycin 
Rascotran Ds ,Trimethoprim 
Rexotil ,Diphenoxylate 
Resclear ,Clarithromycin 
Respimax ,Clarithromycin 
Ritek ,Clarithromycin 
Rithcin ,Clarithromycin 
Rithinex ,Clarithromycin 
Rolite ,Clarithromycin 
Reetag ,Desloratadine 
Roferon-A ,Interferon Alfa-2a 
Refron ,Interferon Alfa-2b. 
Recute ,Isotretinoin Topical 
Resoft ,Isotretinoin Topical 
Roaccutane ,Isotretinoin Topical 
Regulax ,Esomeprazole 
Rexium ,Esomeprazole 
Riga ,Esomeprazole 
Rh-Gcsf ,Filgrastim 
Ranzo ,Fluconazole 
Rexole ,Fluconazole 
Ryzol ,Fluconazole 
Rakaprofen ,Flurbiprofen 
Rangafen ,Flurbiprofen 
Rasbid ,Flurbiprofen 
Relaxofen ,Flurbiprofen 
Riboprofen ,Flurbiprofen 
Rubinol ,Flurbiprofen 
Rumagesic ,Flurbiprofen 
Ranso ,Lansoprazole 
Revocin ,Levofloxacin 
Revonil ,Levofloxacin 
Relaxipam ,Diazepam 
Ranbutol ,Ethambutol 
Renopril ,Lisinopril dihydrate 
Rheuoxib ,Celecoxib 
Rexotil ,Diphenoxylate and Atropine 
Rasmic Forte ,Mefenamic Acid 
Regocid ,Mefenamic Acid 
Remostan ,Mefenamic Acid 
Rascodol ,Paracetamol 
Rgesic ,Paracetamol 
Reclor ,Cefaclor 
Redyclor ,Cefaclor 
Riclor ,Cefaclor 
Ridbac ,Cefaclor 
Rodrox ,Cefadroxil 
Refipime ,Cefepime 
Rosipine ,Cefepime 
Rafix ,Cefixime 
Rafix DS,Cefixime 
Raycef ,Cefixime 
Rayxime ,Cefixime 
Refspan ,Cefixime 
Reyan ,Cefixime 
Reyan DS,Cefixime 
Ricxime ,Cefixime 
Rutex ,Cefixime 
Rexopar ,Cefoperazone 
Razobact ,Cefoperazone 
Ryticef Plus,Cefoperazone 
Raclif ,Cefotaxime 
Ritage ,Cefotaxime 
Romicef ,Cefpirome 
Rti-cef ,Cefpodoxime 
Reozid ,Ceftazidime 
Rocelite ,Ceftriaxone 
Rocerex ,Ceftriaxone 
Rocetrax ,Ceftriaxone 
Rocimed ,Ceftriaxone 
Rogofin ,Ceftriaxone 
Rovitrox ,Ceftriaxone 
Roxone ,Ceftriaxone 
Ruzone ,Ceftriaxone 
Roxat ,Cefuroxime 
Revomet Plus Gel  tablet,"Methylprednisolone Aceponate, Topical"
Rekosporin ,Cephalexin 
Relic ,Cephalexin 
Ricas ,Cephazolin 
Rival ,Celecoxib 
Ronset ,Diclofenac potassium 
Rheumatin ,Diclofenac Sodium 
Rheuyan ,Diclofenac Sodium 
Rodic ,Diclofenac Sodium 
Rasmed ,Flurbiprofen 
Rubio ,Flurbiprofen 
Rapifen ,Ibuprofen 
Regofen ,Ibuprofen 
Remofen ,Ibuprofen 
Rumat ,Ibuprofen 
Rumatofen ,Ibuprofen 
Rumin ,Ibuprofen 
Redoxon Double Action  tablet,Zinc + vitamin C
Ringatil ,Lornoxicam 
Ravina ,Meloxicam 
Rd-cam ,Naproxen 
Repigesic ,Naproxen 
Rheprox ,Naproxen 
Rhynox ,Naproxen 
Rokflex ,Naproxen 
Roman ,Naproxen 
Rox-S ,Naproxen 
Roxen ,Naproxen 
Rapicam ,Piroxicam 
Rheucam ,Piroxicam 
Rheumonil ,Piroxicam 
Roxbex ,Piroxicam 
Roxic ,Piroxicam 
Relin ,Piroxicam-beta-cyclodextrin 
Rheuma-T ,Piroxicam-beta-cyclodextrin 
Roxbet ,Piroxicam-beta-cyclodextrin 
RIFINAH ,Rifampicin and INH
Rabi-Gene  injection,Rabies vaccine
Rabiling  injection,Rabies vaccine
Rabipur ,Rabies vaccine 
Revac-B+ ,Hepatitis B Vaccine 
Rotarix ,Rotavirus Vaccine 
Rubevac  injection,Rubella Vaccine
Ritalin ,Methylphenidate 
Rixago ,Rifaximin 
Rho Gam UF Plus ,Rho 
Ramargon ,Mirtazapine 
Rukgasee ,Buprenorphine 
Ruphen  tablet,Dextropropoxyphene
Rexagon  injection,Pentazocine
Ranzol XR ,Ranolazine 
Relcat ,Ketorolac tromethamine 
Rasmic ,Mefenamic Acid 
Regro ,Minoxidil 
Remikair ,Montelukast 
Repsil ,Montelukast 
Respirel ,Montelukast 
Roktel ,Montelukast 
Respilax ,Salbutamol 
Rashnil Cream ,Zinc Oxide 
Remit DR ,Dexlansoprazole 
Revive ,Clopidogrel Bisulphate 
Revive Plus ,Clopidogrel Bisulphate 
Ryzodeg ,Insulin Degludec 
Ryzodeg ,Insulin Aspart 
Rocephin IV ,Ceftriaxone 
Remac     plus tablet,"Lutein,Zeaxanthin and Mesozeaxanthin"
Renavel ,Sevelamer HCI 
Rifinah ,Rifampicin 
Rimactal  capsule,Rifampicin
Rimactal ,Rifampicin
Rashnil Cream  cream,Zinc Oxide
Rhinathiol ,Carbocisteine 
Robustin ,Metformin 
Reglin ,Repaglinide 
Repaglin ,Repaglinide 
Rosizone ,Rosiglitazone 
Rozig ,Rosiglitazone 
Retril ,Clonazepam 
Redeem ,Tizanidine 
Relaxidine ,Tizanidine 
Raloxi ,Raloxifene 
Rexaphenicol ,Chloramphenicol 
Razim ,Domperidone 
Remato ,Domperidone Maleate 
Rakamizol ,Diloxanide Furoate 
Rosaced DF ,Diloxanide Furoate 
Rekabson-N ,Betamethasone 
Retamide ,Prednisolone 
Rhinol ,Chlorpheniramine 
Ridmal ,Sulfadoxine 
Randazol ,Albendazole 
Robiazole ,Albendazole 
Rakzine ,Cetirizine 
Relizin ,Cetirizine 
Rex ,Cetirizine 
Rinter ,Cetirizine 
Rizin ,Cetirizine 
Rozen ,Cetirizine 
Recute Gel ,Isotretinoin Topical 
Rascopro ,Esomeprazole 
Respimet ,Ketotifen 
Remipar ,Piperazine citrate 
Redopril ,Enalapril Maleate 
Regocid Forte ,Mefenamic Acid 
Regopyrin ,Diclofenac potassium 
Relpain ,Diclofenac potassium 
Relsec ,Diclofenac potassium 
Reuqin ,Diclofenac potassium 
Rheumatin-K ,Diclofenac potassium 
Rubor ,Diclofenac potassium 
Rakafen ,Diclofenac Sodium 
